value,hour,site,season,var
0.31585693,15,UK-MCR,Summer,TG_U
0.3508911,16,UK-MCR,Summer,TG_U
0.36553955,17,UK-MCR,Summer,TG_U
0.39071655,18,UK-MCR,Summer,TG_U
0.3805542,19,UK-MCR,Summer,TG_U
0.36212158,20,UK-MCR,Summer,TG_U
0.33117676,21,UK-MCR,Summer,TG_U
0.33258057,22,UK-MCR,Summer,TG_U
0.3407898,23,UK-MCR,Summer,TG_U
0.2536621,0,UK-MCR,Summer,TSA_U
0.2772522,1,UK-MCR,Summer,TSA_U
0.28070068,2,UK-MCR,Summer,TSA_U
0.2828064,3,UK-MCR,Summer,TSA_U
0.2536621,4,UK-MCR,Summer,TSA_U
0.2517395,5,UK-MCR,Summer,TSA_U
0.25341797,6,UK-MCR,Summer,TSA_U
0.25161743,7,UK-MCR,Summer,TSA_U
0.22299194,8,UK-MCR,Summer,TSA_U
0.131073,9,UK-MCR,Summer,TSA_U
0.07888794,10,UK-MCR,Summer,TSA_U
0.07122803,11,UK-MCR,Summer,TSA_U
0.06555176,12,UK-MCR,Summer,TSA_U
0.069885254,13,UK-MCR,Summer,TSA_U
0.07220459,14,UK-MCR,Summer,TSA_U
0.07623291,15,UK-MCR,Summer,TSA_U
0.07849121,16,UK-MCR,Summer,TSA_U
0.09527588,17,UK-MCR,Summer,TSA_U
0.103271484,18,UK-MCR,Summer,TSA_U
0.12817383,19,UK-MCR,Summer,TSA_U
0.14813232,20,UK-MCR,Summer,TSA_U
0.15789795,21,UK-MCR,Summer,TSA_U
0.1736145,22,UK-MCR,Summer,TSA_U
0.20825195,23,UK-MCR,Summer,TSA_U
0.15725708,0,UK-MCR,Summer,TBUILD
0.15487671,1,UK-MCR,Summer,TBUILD
0.15078735,2,UK-MCR,Summer,TBUILD
0.14898682,3,UK-MCR,Summer,TBUILD
0.14498901,4,UK-MCR,Summer,TBUILD
0.13790894,5,UK-MCR,Summer,TBUILD
0.13827515,6,UK-MCR,Summer,TBUILD
0.14590454,7,UK-MCR,Summer,TBUILD
0.153656,8,UK-MCR,Summer,TBUILD
0.1456604,9,UK-MCR,Summer,TBUILD
0.14468384,10,UK-MCR,Summer,TBUILD
0.14511108,11,UK-MCR,Summer,TBUILD
0.14666748,12,UK-MCR,Summer,TBUILD
0.14682007,13,UK-MCR,Summer,TBUILD
0.14675903,14,UK-MCR,Summer,TBUILD
0.14614868,15,UK-MCR,Summer,TBUILD
0.14694214,16,UK-MCR,Summer,TBUILD
0.14807129,17,UK-MCR,Summer,TBUILD
0.1477356,18,UK-MCR,Summer,TBUILD
0.14953613,19,UK-MCR,Summer,TBUILD
0.15249634,20,UK-MCR,Summer,TBUILD
